1308489,3.94,596,-288,-15936
1308503,3.94,784,-412,-16280
1308517,3.94,328,-3124,-16032
1308531,3.94,544,-2684,-16448
1308545,3.93,92,-1716,-16188
1308559,3.94,-52,-1248,-16144
1308573,3.94,36,-636,-15896
1308587,5.56,-424,432,-15620
1308601,5.57,104,696,-16000
1308615,5.56,968,1776,-16124
1308709,5.56,576,-208,-16040
1308723,5.57,620,-216,-15944
1308737,5.56,584,-172,-16148
1308751,5.56,496,-344,-16084
1308765,5.57,568,-292,-16016
1308779,5.56,456,-256,-16068
1308793,5.57,616,-188,-15932
1308807,5.56,488,-76,-16020
1308821,5.57,620,-188,-16228
1308835,5.57,504,-128,-16004
1308849,5.56,568,-252,-16048
1308863,5.57,536,-280,-15988
1308877,5.56,536,-236,-15752
1308891,5.56,608,-184,-15964
1308905,5.56,580,-232,-16020
1308919,5.56,584,-220,-15988
1308933,5.57,516,-380,-16188
1308947,5.56,688,-268,-15972
1308961,5.56,424,-220,-16064
1308975,5.56,484,-196,-16196
1308989,5.56,584,-260,-16088
1309003,5.57,564,-288,-16168
1309017,5.56,1576,-496,-16460
1309031,5.56,2520,-396,-15656
1309045,5.56,2684,-272,-16232
1309059,3.94,2868,-500,-15640
1309073,3.62,2804,-240,-16348
1309087,4.25,2328,-768,-15552
1309101,3.62,1596,-52,-16564
1309115,6.53,2836,-272,-15704
1309129,4.92,2532,-484,-15908
1309143,2.32,1696,-92,-15480
1309157,2.97,2192,-304,-15992
1309171,2.64,476,-324,-16228
1309185,1.99,1752,-352,-15776
1309199,1.66,1852,-52,-16412
1309213,2.32,1432,268,-16048
1309227,2.97,412,-40,-16596
1309241,2.32,1344,-16,-15896
1309255,3.94,1924,-384,-16324
1309269,3.29,1396,-484,-16376
1309283,3.62,776,76,-15516
1309297,2.97,1076,-320,-15888
1309311,3.29,468,436,-16348
1309325,3.62,1332,120,-15216
1309339,3.93,1540,-140,-16128
1309353,6.86,1076,-280,-15348
1309367,5.56,2064,-488,-16368
1309381,6.86,2224,-584,-14980
1309395,5.88,1832,-232,-15948
1309409,5.88,1672,132,-16256
1309423,7.19,972,-140,-15932
1309437,7.19,1224,-16,-16168
1309451,7.19,1088,-392,-16200
1309465,8.16,1536,-348,-15904
1309479,9.54,336,92,-17136
1309493,9.52,1836,224,-15972
1309507,9.54,1952,-308,-16012
1309522,10.89,2188,-332,-14836
1309537,10.55,2264,-592,-15216
1309552,11.58,1560,-664,-15012
1309567,12.61,2244,-1112,-15120
1309582,13.63,2024,-200,-16020
1309608,14.30,900,-308,-16216
1309623,15.33,1412,-388,-15584
1309638,16.98,2452,-496,-15720
1309653,16.34,2124,-248,-16336
1309668,16.98,2196,-104,-16584
1309683,17.29,2192,-304,-16560
1309698,18.88,2436,-400,-16328
1309714,37.03,3364,-740,-15660
1309730,39.10,2048,-256,-16464
1309746,40.71,928,-192,-16500
1309762,43.41,2108,-44,-15568
1309777,23.58,-56,320,-15716
1309792,27.35,1004,96,-16044
1309807,25.62,2164,84,-15396
1309822,25.62,1072,-228,-15988
1309837,27.37,740,-204,-16920
1309853,29.10,2064,-216,-15464
1309869,27.94,1784,-204,-15672
1309885,29.36,1392,-284,-14916
1309901,29.09,1540,-192,-16740
1309917,30.92,2444,-216,-15924
1309933,31.97,1600,0,-14732
1309949,33.01,1904,-408,-16236
1309965,34.06,1568,-120,-18872
1309981,34.33,1880,148,-16516
1309997,35.88,1696,-112,-15916
1310013,36.10,1324,-44,-16508
1310029,37.27,1684,-632,-15800
1310045,38.40,936,768,-15476
1310061,39.57,2432,-324,-15592
1310077,41.19,2932,-728,-15912
1310093,42.81,884,588,-14952
1310109,43.20,1544,-656,-16396
1310125,44.40,1872,12,-16792
1310142,45.60,1900,572,-15460
1310159,47.08,2908,-392,-14564
1310176,48.83,2372,4,-15936
1310193,49.75,1824,-88,-17012
1310210,51.12,1784,0,-15796
1310227,52.15,2536,-848,-15352
1310244,54.02,3016,-728,-15300
1310261,55.07,2212,-420,-14992
1310278,56.54,3720,-1096,-17800
1310295,57.66,32767,-804,-2976
1310312,57.93,26096,-988,-10636
1310329,58.38,1140,-5016,-25016
1310346,58.36,-348,-408,1176
1310363,58.36,32767,5892,32767
1310380,58.24,13548,1080,-32568
1310397,57.68,-8184,1132,-17412
1310414,57.68,4560,-452,-18520
1310431,56.82,-4756,-288,-6036
1310448,56.82,11016,-820,-16488
1310465,56.66,19856,-732,-18104
1310482,56.66,12572,-560,-15016
1310499,56.82,3248,-408,-18628
1310516,57.08,-15016,-3716,-9388
1310533,57.23,520,-268,-14540
1310567,57.52,596,-200,-16140
1310584,57.66,-9964,-544,-19448
1310601,57.64,-4180,1032,-16396
1310618,57.52,-6608,-2496,-15436
1310635,57.52,3056,1464,-18020
1310652,57.38,7200,660,-17536
1310669,57.38,-3920,-1220,-15864
1310686,57.25,468,-992,-15012
1310703,57.25,476,-688,-16324
1310720,57.25,-1012,-136,-16124
1310737,57.25,1308,12,-15848
1310754,57.38,992,-144,-16072
1310771,57.38,712,-64,-16140
1310788,57.38,832,-252,-15880
1310805,57.38,608,-288,-16040
1310822,57.37,672,-188,-16236
1310839,57.38,480,-260,-16132
1310856,57.38,1052,-336,-15560
1310873,57.38,616,-244,-16240
1310890,57.37,316,-80,-16212
1310907,57.25,876,-204,-15860
1310924,57.25,984,-332,-16016
1310941,57.38,480,-212,-16208
1310958,57.38,536,-176,-15856
1310975,57.38,968,-304,-15928
1310992,57.38,604,-136,-16228
1311009,57.38,288,-208,-16292
1311026,57.38,776,-388,-16028
1311043,57.25,672,-272,-16180
1311060,57.38,396,-108,-16236
1311077,57.38,696,-196,-16044
1311094,57.38,896,-216,-15804
1311111,57.38,616,-56,-16256
1311128,57.37,396,-104,-16000
1311145,57.38,844,-216,-15944
1311162,57.25,792,-156,-15952
1311179,57.25,584,-60,-16048

